Country Name,Country Code,Series Name,Series Code,life_expectancy
Dominica,DMA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.727
Dominican Republic,DOM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.953
Ecuador,ECU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.789
"Egypt, Arab Rep.",EGY,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.483
El Salvador,SLV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.814
Equatorial Guinea,GNQ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.103
Eritrea,ERI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,66.033
Estonia,EST,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.5902439
Eswatini,SWZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,55.019
Ethiopia,ETH,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,63.649
Faroe Islands,FRO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.79268293
Fiji,FJI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,66.844
Finland,FIN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.4804878
French Polynesia,PYF,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.354
Gabon,GAB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.46
"Gambia, The",GMB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.494
Georgia,GEO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.297
Ghana,GHA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,63.175
Gibraltar,GIB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.427
Greece,GRC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.03658537
Greenland,GRL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.47902439
Grenada,GRD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.013
Guam,GUM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.616
Guatemala,GTM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.103
Guinea,GIN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,58.134
Guinea-Bissau,GNB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,59.128
Guyana,GUY,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.201
Haiti,HTI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,63.237
Honduras,HND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.487
"Hong Kong SAR, China",HKG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,84.25268293
Hungary,HUN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.56829268
Iceland,ISL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.46829268
"Iran, Islamic Rep.",IRN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.124
Iraq,IRQ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.44
Ireland,IRL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.45365854
Isle of Man,IMN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.905
Israel,ISR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.05121951
Jamaica,JAM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.394
Jordan,JOR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.011
Kazakhstan,KAZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.97
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,61.892
Kiribati,KIR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,66.059
"Korea, Dem. People's Rep.",PRK,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.784
Kosovo,XKX,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.922
Kuwait,KWT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.562
Kyrgyz Republic,KGZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.65121951
Lao PDR,LAO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,66.67
Latvia,LVA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.4804878
Lebanon,LBN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.229
Lesotho,LSO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,51.101
Liberia,LBR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,59.148
Libya,LBY,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.698
Liechtenstein,LIE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.65609756
Lithuania,LTU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.32195122
Luxembourg,LUX,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.29268293
"Macao SAR, China",MAC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,83.984
Madagascar,MDG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,64.339
Malawi,MWI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,61.378
Malaysia,MYS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.094
Maldives,MDV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.695
Mali,MLI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,58.363
Malta,MLT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.89756098
Marshall Islands,MHL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,63.827
Mauritania,MRT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,64.485
Mauritius,MUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.35317073
"Micronesia, Fed. Sts.",FSM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.408
Moldova,MDA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.24
Monaco,MCO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Mongolia,MNG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.498
Montenegro,MNE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.44878049
Morocco,MAR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.92
Mozambique,MOZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,58.151
Myanmar,MMR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.561
Namibia,NAM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.7
Nauru,NRU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.269
Nepal,NPL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.456
New Caledonia,NCL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.2804878
New Zealand,NZL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.61243902
Nicaragua,NIC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.983
Niger,NER,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,61.083
Nigeria,NGA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,51.841
North Macedonia,MKD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.40243902
Northern Mariana Islands,MNP,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Norway,NOR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.30487805
Oman,OMN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.687
Pakistan,PAK,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.697
Palau,PLW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Panama,PAN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.468
Papua New Guinea,PNG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,64.701
Paraguay,PRY,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.191
Peru,PER,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.621
Philippines,PHL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.268
Poland,POL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.45121951
Portugal,PRT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.12439024
Puerto Rico,PRI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.695
Qatar,QAT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.064
Romania,ROU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.91219512
Rwanda,RWA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.298
Samoa,WSM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.515
San Marino,SMR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Sao Tome and Principe,STP,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.249
Senegal,SEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,66.879
Serbia,SRB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.28780488
Seychelles,SYC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.29512195
Sierra Leone,SLE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,57.189
Singapore,SGP,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.74390244
Sint Maarten (Dutch part),SXM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.954
Slovak Republic,SVK,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.56341463
Slovenia,SVN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.77560976
Solomon Islands,SLB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.583
Somalia,SOM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,54.857
South Africa,ZAF,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,63.95
South Sudan,SSD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,55.566
Sri Lanka,LKA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.927
St. Kitts and Nevis,KNA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.763
St. Lucia,LCA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.138
St. Martin (French part),MAF,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.309
St. Vincent and the Grenadines,VCT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.407
Sudan,SDN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,64.659
Suriname,SUR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.8
Sweden,SWE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.20487805
Syrian Arab Republic,SYR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.124
Tajikistan,TJK,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.306
Tanzania,TZA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,64.651
Thailand,THA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.717
Timor-Leste,TLS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.137
Togo,TGO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,59.396
Tonga,TON,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.607
Trinidad and Tobago,TTO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.503
Tunisia,TUN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.692
Turkmenistan,TKM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.782
Turks and Caicos Islands,TCA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.912
Tuvalu,TUV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,64.06
Uganda,UGA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,61.086
Ukraine,UKR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.1895122
United Arab Emirates,ARE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.223
Uruguay,URY,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.483
Uzbekistan,UZB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.475
Vanuatu,VUT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.513
"Venezuela, RB",VEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.006
Viet Nam,VNM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.876
Virgin Islands (U.S.),VIR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.01707317
West Bank and Gaza,PSE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.406
"Yemen, Rep.",YEM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.873
Zambia,ZMB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,61.208
Zimbabwe,ZWE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,59.591
Africa Eastern and Southern,AFE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,61.85685585
Africa Western and Central,AFW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,56.13527478
Arab World,ARB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.64389168
Caribbean small states,CSS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.86747336
Central Europe and the Baltics,CEB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.57152402
Early-demographic dividend,EAR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.85366623
East Asia & Pacific,EAS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.93659679
East Asia & Pacific (excluding high income),EAP,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.11191197
East Asia & Pacific (IDA & IBRD countries),TEA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.14116431
Euro area,EMU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.5193422
Europe & Central Asia,ECS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.21959605
Europe & Central Asia (excluding high income),ECA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.33477791
Europe & Central Asia (IDA & IBRD countries),TEC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.11891945
European Union,EUU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.56885251
Fragile and conflict affected situations,FCS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.9705211
Heavily indebted poor countries (HIPC),HPC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,61.59466816
High income,HIC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.47288626
IBRD only,IBD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.1441346
IDA & IBRD total,IBT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.48082224
IDA blend,IDB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.31579225
IDA only,IDX,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,63.94039314
IDA total,IDA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.71579302
Late-demographic dividend,LTE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.01190547
Latin America & Caribbean,LCN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.61534675
Latin America & Caribbean (excluding high income),LAC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.47397188
Latin America & the Caribbean (IDA & IBRD countries),TLA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.52552371
Least developed countries: UN classification,LDC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,63.49108795
Low & middle income,LMY,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.37235067
Low income,LIC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,61.72105243
Lower middle income,LMC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.58539084
Middle East & North Africa,MEA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.80658557
Middle East & North Africa (excluding high income),MNA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.94495829
Middle East & North Africa (IDA & IBRD countries),TMN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.91730044
Middle income,MIC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.31100937
North America,NAC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.00364873
Not classified,INX,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
OECD members,OED,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.7910327
Other small states,OSS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.28693216
Pacific island small states,PSS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.56614177
Post-demographic dividend,PST,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.37698747
Pre-demographic dividend,PRE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,59.0688613
Small states,SST,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.72986526
South Asia,SAS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.13247365
South Asia (IDA & IBRD),TSA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.13247365
Sub-Saharan Africa,SSF,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,59.52342521
Sub-Saharan Africa (excluding high income),SSA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,59.52207912
Sub-Saharan Africa (IDA & IBRD countries),TSS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,59.52342521
Upper middle income,UMC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.13178728
World,WLD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.04708691
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 01/28/2025,,,,
